surname,g1,g2,dob,sex,age_group,cause_of_absence,Num_missing,age_first,age_last,missing_period,missing_per_year,clothes,coat_color1,coat_type,date_last_seen,date_located,dress_type,hand,hat_type,hat_color1,jewelry_type,missing_before,place_last_seen,pants_type,place_located,previously_found,shoes_type,shirt_type,skirt_type,young_offender,cyber_crime_type,demage_total,detail_count,district,down_time,durg_alcohol,drugs_total,family_violence,follow_up_count,founded,fraud_type,gang_involvement,gang_type,hate_crime_ind,how_method,location,location_code,loss_total,object_of_theft1,object_of_theft2,object_of_theft3,object_of_theft4,object_of_theft5,occ_date,occ_name,occ_time,occupancy_code,person_count,person_target,place_name,recovered_total,unident_count,vehicle_count,vehicle_target,vehicle_type,viclas_flag,violation_count,weapon_status,weapon_type,week_day,x_coordinate,y_coordinate,zone,caution,citizenship,build,complexion,country_of_birth,disability,drivers_license,employer,eye_color,facial_hair,facial_hair_color,gang_name,hair_color,hair_style,height,language,marital_status,occupation,race,weight
Cyrus,66442,38519,"September 13th, 2019",0,3,83359461,9,7,11,34,6,55293,16226,52486,"March 7th, 2018","November 6th, 2018",44017,94394,22833,05809,86672,6,42457,JQFHH,LKRPO,GPIYF,XVPDO,HSWMC,CYDKO,XZKUZ,WNGCS,EFLYK,WALCG,DLXHX,ZYGVE,IVKUQ,XTGPT,KIDRD,2,VEPPS,THZPC,LLRKU,BZQLF,NMYYN,EXDLM,BFZWW,XJFQM,CCVNT,XLHDZ,FMNAS,BUYHA,VONEB,EYZCV,HEXSH,QPONA,MVPGO,FFCGW,ROSOI,VHBJL,DBTSG,JMOWP,QJLEW,GVNMM,IAZUQ,LKLCP,CBNCU,IIDZA,CHRIV,LRPDV,WGSSV,EZFPC,FYODE,SLUBS,IUAFU,RZEJQ,IFGSJ,JNAEC,DBRXV,OHILI,HKBLC,JOJRI,IHOHU,RKLEQ,NVYTB,,KAEGW,GQFKD,868,KYGBK,KSGBY,AEHXX,HWBFB,MQJOV
Cassidy,26352,63008,"March 3rd, 2019",1,3,81831458,42,5,10,41,43,25682,00286,15118,"March 11th, 2015","November 28th, 2016",70969,69200,02270,14046,32979,1,69327,XEVVY,WEDKD,BAKRF,DPEKH,IHEDD,FDWFW,IMAJL,PSRGY,OIZZM,GMJMP,UMRVY,USFCB,PLSDF,VDOKA,DZFOA,0,XOMAK,LBLJB,AKIXG,GUQQF,ZVHXC,IRQMQ,ZFZCO,LIILJ,SGTVA,MYEUP,QBSGK,FXHQJ,ZXXDV,NGYDD,DYGBH,TVXCR,AQNLI,VDTAK,MSBEG,HRQWW,RKABV,YAPMK,BIWAL,RULXZ,QWLIG,EUJVS,SKMSD,YANSN,FJWAQ,GRYAR,MWTQE,PHNNP,BYAXO,YFWDR,ACXAK,KEBJS,YAAFF,MCXAH,FINGV,EZQGR,GWUFR,VIYBE,SGNBC,BGJMQ,QZQND,orange,HVVRM,YROFX,644,DZIBC,VVOWU,SXOCI,SKZNM,LABIG
Jasmine,62426,39871,"May 29th, 2019",0,9,22316280,8,9,17,3,39,34255,06615,97043,"September 26th, 2017","May 11th, 2016",19014,27436,17921,31789,88630,3,41673,DQJMK,RLUBT,IUEXX,UIDTN,ASZKK,MIYKC,CTVHQ,JWWGB,XKXNE,IFUKI,YYYEF,DIMVR,MLTVP,UETOI,MJSVO,2,ODYVD,BPYRU,COCXK,QIJQY,ZGKCR,IFEEP,KAZDV,TXOZJ,VTMRR,BJSHG,QJFWK,MVFEJ,QWBHN,JAZEE,YMBDR,RZRLG,TEVIS,BZTIC,JZWQI,IUAQN,EUGIJ,IKULI,TDYHC,CBJIJ,ZBHLI,XKPNO,THRCT,OWVQX,IZVKR,OXTQY,MLNRF,FJKOL,TQCCC,JPQGO,CXQET,OKWEL,STDRY,XVSQF,CVFTH,VGSLX,LIMJE,MKGBV,NWZPE,VSLTH,GPDAK,orange,EHQPM,BPVWP,220,UPKNR,QQVIP,PKXHG,KXEBL,KIUCK
Gage,83113,37914,"October 23rd, 2018",0,8,70602724,16,5,13,7,23,00611,84086,76699,"December 13th, 2015","November 3rd, 2017",74010,29291,61316,75708,40937,4,98625,MYGRH,FBXXQ,CPHJR,HHFXY,SSURH,CMQQL,FITEK,JQCVZ,KCMUO,WCMFD,IDXTR,NYPEC,AUXQO,IBTQW,PUBJY,3,TGGFO,NTLVU,VJRJM,TBBMM,DDGYS,BDXUK,IITQW,HKXPY,PMAUB,CVHBO,MKBKW,KQAGX,PGWWQ,NXEAD,FOAYW,QNYRV,MLAFT,NDGNI,RBOXE,ORVWQ,KICAK,TWFYF,PHDDD,WDRSA,PSEWM,PFBUX,OEIGA,HECFV,QPBLA,JQQRR,CLNVW,FQJAL,UQUKC,HDOPE,SCSOL,SJPFA,XPVVE,RKIMN,CNXNG,TQWRR,KSEYY,ZGNFP,CDKWT,BHATP,QPACZ,,HVWKL,KEHQQ,303,KMMQF,QCHEN,TRJZG,XBADM,LQUUC
Leila,46451,61707,"February 18th, 2018",0,10,30214571,32,4,10,12,38,78429,39463,42272,"April 16th, 2015","April 21st, 2017",69339,66081,28712,36382,24957,9,46718,ZJCRU,LFWSA,MRSUW,RYLOM,BPIBL,NDVNJ,UFQME,PNYGC,ECRFS,HIKTK,TNLXL,UYBRR,NUMVA,IXDRT,YAHCU,9,MSSOS,DSQCM,RAXNZ,AXLAS,AFJCL,HFDYV,ZOUFO,VJGUF,QTTKL,EOJHJ,MJONQ,VNSZP,ZSWRQ,RZNCC,EJHFP,YCFLJ,QRVUW,QEJKB,HLSBT,QQXLN,JSZSO,UECVF,RMKCN,IQXFX,BQLIV,PSQAJ,SPNIY,WBKNC,HHASQ,PURKM,RITKA,ZSPTR,WXWFN,LKJUL,ASVCK,LXFYW,WSDJM,GPALM,HDUAT,CQPII,SIGVT,ZRYJL,IHODL,QUHHZ,TDAHF,test,CHUNG,SRVET,302,SPDQE,INILK,KEODN,VBYXT,PFXNJ
Hammett,23185,35750,"May 20th, 2015",0,10,64260332,16,4,18,1,26,79627,00138,54157,"January 16th, 2017","August 21st, 2015",66916,59761,71607,86974,38847,1,04831,NFXOL,XUOQF,FNZTI,MYRUQ,TPCMU,HVSWJ,XQEJH,WTQLG,PJWAW,RLVXB,GAYHY,OGDAX,ULFDQ,YHCJX,QVTRF,2,FNPSK,DKNLG,JOPKW,XNBOA,TPCMV,QGFCQ,ZBKRI,BIQDU,LXHGW,EHSQU,JCYAN,YQNET,YLMZK,UQLXE,IZZAA,UVPGZ,PJMVV,EUMHY,WNDPT,XWCIB,HEOKG,SINKH,KLRAL,ZOPNN,KHCPJ,WWUJD,MGYWB,EGJXU,MNUYS,AQKKG,FKQCW,DZDJA,SSJWN,ZCXUO,MYTTV,MFNYK,QXQPV,COLIT,CUEVY,TPPKX,PBMNT,YWJJB,REURZ,WFCMU,OQKZP,orange,ZXZEL,WEJGV,301,PICBL,EENXR,NEXVN,BOXPD,UTKJF
Ursa,20010,79039,"January 16th, 2016",0,4,60633160,33,1,13,7,1,26788,00467,01369,"December 2nd, 2018","November 8th, 2018",34319,48879,23196,57570,58387,7,15255,DYONL,INSUT,QRBJU,AUAFT,VKZUW,IRQQG,RYSDU,WDROA,BABLR,LNFFG,IHXZU,OLECP,LLLMN,FGWPV,PPVEU,8,DMOEI,YUNQI,YSYTN,HDFDI,WIWKR,JEBVN,FESSM,RDAXL,PCONF,LAXEL,JINAV,WPETG,DHICV,FNHXH,ILCAH,XNUTF,TCONM,GHFSO,UNVOP,JPOMO,VVUCY,VLDCY,MBWBZ,UTVZZ,BZTZA,JICFV,KPIHN,XDGVS,SMZBP,AZVFG,ZILNH,JTRKM,JUXLW,UMELN,GRSMW,FXRJW,OMAXO,CLWOI,OLIHK,YCXBR,XUQYI,QUAQN,WRFMJ,PGFEC,DZVSX,orange,YIQIQ,OANMR,379,WMOXA,EMKHW,VIYCK,JHMMN,YRVLA
Zenia,88167,68703,"April 18th, 2019",0,4,51370733,15,3,13,1,40,07287,52823,02293,"December 3rd, 2018","April 9th, 2017",33518,49901,03599,12746,98443,7,20610,EWKWM,UEHQQ,HXSCV,MBVEM,QGIRJ,MHOVG,MICYL,LGAFG,GXPCJ,FTMZB,KRTSV,LYJIT,FAGBF,BWOFA,XKZJY,7,NRKQK,AXBQB,ORNMB,KLWZQ,FJEJY,YRGAB,SIZJY,XFQEM,GFMXJ,PFEBI,KURMQ,FQSEU,GLNYZ,KMIKH,FAGHY,POIQR,YHMFS,MJNVM,UYBOV,HWFFI,CTKQM,NKBLC,IEEUQ,SBBNI,WZPVO,IGBPM,EHFLL,AECFC,ZEFZV,TPGHT,FTENF,NZFCQ,FJYMX,JXLDI,GKQXD,WJKVM,VMRDY,WRTXI,KHYKT,LGZEF,OOERQ,RRGLD,TMXNT,HBWHH,JUXFH,violet,FPHYP,UJLEH,783,PASGI,LHPRW,LGYSP,MYSFM,OBXGS
Madeson,13895,86659,"May 21st, 2018",1,9,56901191,16,5,10,33,39,86111,43772,24877,"March 14th, 2016","August 21st, 2015",82688,03923,56289,62659,52937,0,55396,UDQJX,NHMBM,NDXMS,LFENA,VEZQG,DVJUV,TKUGJ,KLEZM,JMXYA,KYLPF,ANOBL,HTHSF,AXIVJ,HTKJN,IDEZU,6,CGQXM,NVKRT,HEVVB,TUNUL,WFNTU,DLQFC,SGLJN,MRTAG,VOCQF,QACQU,IBAYD,XSAOX,AGCBG,LFYNN,IQQDN,ZIDXK,UTSDX,DLHWP,QWNTE,XIDOR,WNBMO,YITEI,WWZQL,AKCPE,SGWLJ,BIMCJ,PBVXG,FGIRU,FQMOP,ZXEZQ,DYCQM,LYISN,WRKTR,KNBBD,XCIVG,EUCSP,PYDLQ,VKFTC,UCKYG,AJFOT,ONDXP,AZPVG,CKTZF,BYBPS,EGOPR,test,NGMEO,HFKMM,476,OFCXX,FLTHQ,BSJCQ,JGATN,WTBWW
Inez,29385,95597,"May 13th, 2017",1,5,12788908,15,2,19,27,10,51922,71773,84236,"November 27th, 2019","December 17th, 2019",92355,24919,75791,45389,98595,5,65370,GNXAI,AZLRW,SOTRH,TMTWS,VUPNK,NOKBR,VWWUW,GSICO,HIJFD,LQCAF,AGBSJ,TLPZA,HBFZT,VBNVZ,PYQMJ,6,CBYFB,YYTPK,ZRTKW,AGWSQ,MMTCA,CIIFC,RSHGT,IWIAG,IOJHC,YIZZA,MBKMH,KCOKN,SMRBK,GKRLR,LWLJO,HJSLS,CPUNI,MKNKV,OFOTQ,WTHFP,GUSZB,MKIWW,ITJXS,AFAGW,CRZNZ,ZDSAW,VYFZL,NXFIL,HRTNC,FVLAH,RNGKS,DAMWN,SYUYO,OFLXE,XDVGA,OPKZW,DZUXW,YNQHC,GRXYY,MDTPK,DIJMX,YEOUI,MHKWZ,EPOKV,PDAYF,test,RKJAI,VNCCE,135,SMZGX,LTBNC,CISSD,QOAFD,LFLLJ
